"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","110244",
"Firmware Version","02.300",
"Date","2023-01-26",
"Time","13:05:42",
"Comment","",

"Meas. Place",,"1",,
"Type",,"Rise Time",,
"Source 1",,"C1",,
"Source 2",,,,
"Unit",,s,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,1440,,
"Current",,9.597200e-06,,
"Average No.",,1.000000e+03,,
"Min",,9.354800e-06,,
"Max",,9.930000e-06,,
"Mean",,9.652759e-06,,
"StdDev",,1.048832e-07,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,9.324000e-06,,
"Long term Max",,9.930000e-06,,
"Long term Mean",,9.652254e-06,,
"Long term StdDev",,1.049460e-07,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
748,,9.626800e-06,
749,,9.680400e-06,
750,,9.810800e-06,
751,,9.752400e-06,
752,,9.605200e-06,
753,,9.730000e-06,
754,,9.662400e-06,
755,,9.606800e-06,
756,,9.743600e-06,
757,,9.590800e-06,
758,,9.785600e-06,
759,,9.516000e-06,
760,,9.702400e-06,
761,,9.654400e-06,
762,,9.699200e-06,
763,,9.550000e-06,
764,,9.616800e-06,
765,,9.590800e-06,
766,,9.498800e-06,
767,,9.768000e-06,
768,,9.727600e-06,
769,,9.563200e-06,
770,,9.596000e-06,
771,,9.743600e-06,
772,,9.784400e-06,
773,,9.650000e-06,
774,,9.675200e-06,
775,,9.536400e-06,
776,,9.573600e-06,
777,,9.727600e-06,
778,,9.540000e-06,
779,,9.773600e-06,
780,,9.613600e-06,
781,,9.690000e-06,
782,,9.648000e-06,
783,,9.669200e-06,
784,,9.612400e-06,
785,,9.720000e-06,
786,,9.679600e-06,
787,,9.827600e-06,
788,,9.724400e-06,
789,,9.536800e-06,
790,,9.678400e-06,
791,,9.561600e-06,
792,,9.522400e-06,
793,,9.703200e-06,
794,,9.600800e-06,
795,,9.646400e-06,
796,,9.637600e-06,
797,,9.583600e-06,
798,,9.521200e-06,
799,,9.630000e-06,
800,,9.732400e-06,
801,,9.796800e-06,
802,,9.558000e-06,
803,,9.793200e-06,
804,,9.552800e-06,
805,,9.551200e-06,
806,,9.586400e-06,
807,,9.768000e-06,
808,,9.809200e-06,
809,,9.525200e-06,
810,,9.536800e-06,
811,,9.576000e-06,
812,,9.599200e-06,
813,,9.749200e-06,
814,,9.517200e-06,
815,,9.493200e-06,
816,,9.700800e-06,
817,,9.354800e-06,
818,,9.755600e-06,
819,,9.787200e-06,
820,,9.656000e-06,
821,,9.637200e-06,
822,,9.607200e-06,
823,,9.759600e-06,
824,,9.795600e-06,
825,,9.666400e-06,
826,,9.784800e-06,
827,,9.758800e-06,
828,,9.689200e-06,
829,,9.734400e-06,
830,,9.434000e-06,
831,,9.554800e-06,
832,,9.593600e-06,
833,,9.777600e-06,
834,,9.807200e-06,
835,,9.808000e-06,
836,,9.698800e-06,
837,,9.487600e-06,
838,,9.690000e-06,
839,,9.624000e-06,
840,,9.718800e-06,
841,,9.658000e-06,
842,,9.474800e-06,
843,,9.583200e-06,
844,,9.690000e-06,
845,,9.474800e-06,
846,,9.499200e-06,
847,,9.678000e-06,
848,,9.560800e-06,
849,,9.795200e-06,
850,,9.553600e-06,
851,,9.603600e-06,
852,,9.552000e-06,
853,,9.540400e-06,
854,,9.817200e-06,
855,,9.646800e-06,
856,,9.546000e-06,
857,,9.579600e-06,
858,,9.532800e-06,
859,,9.855200e-06,
860,,9.494800e-06,
861,,9.540000e-06,
862,,9.592000e-06,
863,,9.722000e-06,
864,,9.657200e-06,
865,,9.596000e-06,
866,,9.684800e-06,
867,,9.683200e-06,
868,,9.673200e-06,
869,,9.564800e-06,
870,,9.640400e-06,
871,,9.692000e-06,
872,,9.633600e-06,
873,,9.716400e-06,
874,,9.624800e-06,
875,,9.680400e-06,
876,,9.807200e-06,
877,,9.684800e-06,
878,,9.733200e-06,
879,,9.723200e-06,
880,,9.651200e-06,
881,,9.582800e-06,
882,,9.649200e-06,
883,,9.372800e-06,
884,,9.776400e-06,
885,,9.596400e-06,
886,,9.625600e-06,
887,,9.621200e-06,
888,,9.758800e-06,
889,,9.566800e-06,
890,,9.576800e-06,
891,,9.830800e-06,
892,,9.522400e-06,
893,,9.810400e-06,
894,,9.597200e-06,
895,,9.625600e-06,
896,,9.802800e-06,
897,,9.645600e-06,
898,,9.631200e-06,
899,,9.719600e-06,
900,,9.501600e-06,
901,,9.608400e-06,
902,,9.686800e-06,
903,,9.653200e-06,
904,,9.558800e-06,
905,,9.458000e-06,
906,,9.772000e-06,
907,,9.641200e-06,
908,,9.618400e-06,
909,,9.572800e-06,
910,,9.776400e-06,
911,,9.472000e-06,
912,,9.823200e-06,
913,,9.752400e-06,
914,,9.588800e-06,
915,,9.446800e-06,
916,,9.514000e-06,
917,,9.668000e-06,
918,,9.770400e-06,
919,,9.540400e-06,
920,,9.643200e-06,
921,,9.730800e-06,
922,,9.823200e-06,
923,,9.778000e-06,
924,,9.691600e-06,
925,,9.635600e-06,
926,,9.700800e-06,
927,,9.651200e-06,
928,,9.778000e-06,
929,,9.691200e-06,
930,,9.606400e-06,
931,,9.581200e-06,
932,,9.472400e-06,
933,,9.599600e-06,
934,,9.548800e-06,
935,,9.658800e-06,
936,,9.654800e-06,
937,,9.541200e-06,
938,,9.783600e-06,
939,,9.574400e-06,
940,,9.674400e-06,
941,,9.605200e-06,
942,,9.551600e-06,
943,,9.620000e-06,
944,,9.568800e-06,
945,,9.806800e-06,
946,,9.587200e-06,
947,,9.745600e-06,
948,,9.630400e-06,
949,,9.597600e-06,
950,,9.602800e-06,
951,,9.747200e-06,
952,,9.626800e-06,
953,,9.465200e-06,
954,,9.817600e-06,
955,,9.838000e-06,
956,,9.834400e-06,
957,,9.537600e-06,
958,,9.528000e-06,
959,,9.727600e-06,
960,,9.670800e-06,
961,,9.786000e-06,
962,,9.457200e-06,
963,,9.555200e-06,
964,,9.763200e-06,
965,,9.602800e-06,
966,,9.633600e-06,
967,,9.470400e-06,
968,,9.674800e-06,
969,,9.670000e-06,
970,,9.525200e-06,
971,,9.768400e-06,
972,,9.552000e-06,
973,,9.766800e-06,
974,,9.718800e-06,
975,,9.666800e-06,
976,,9.412800e-06,
977,,9.573600e-06,
978,,9.930000e-06,
979,,9.667200e-06,
980,,9.584400e-06,
981,,9.518400e-06,
982,,9.563600e-06,
983,,9.781600e-06,
984,,9.582800e-06,
985,,9.667600e-06,
986,,9.651600e-06,
987,,9.812000e-06,
988,,9.799600e-06,
989,,9.796800e-06,
990,,9.482000e-06,
991,,9.795200e-06,
992,,9.558800e-06,
993,,9.506800e-06,
994,,9.554800e-06,
995,,9.710800e-06,
996,,9.601600e-06,
997,,9.657200e-06,
998,,9.715600e-06,
999,,9.722400e-06,
1000,,9.597200e-06,
